Year,FIPSST,Medi_or_Behav_Treat%,Medi_Treat%,Behav_Treat%,Medi&Behav_Treat%
2020,10,72.15189873417721,55.69620253164557,49.36708860759494,32.91139240506329
2020,11,67.6923076923077,46.15384615384615,49.23076923076923,27.692307692307693
2020,12,62.62626262626263,43.43434343434344,46.464646464646464,27.27272727272727
2020,13,68.31683168316832,58.415841584158414,37.62376237623762,27.722772277227726
2020,15,59.61538461538461,34.61538461538461,46.15384615384615,21.153846153846153
2020,16,68.18181818181817,54.54545454545454,43.93939393939394,30.303030303030305
2020,17,71.1864406779661,55.932203389830505,49.152542372881356,33.89830508474576
2020,18,73.11827956989248,63.44086021505376,35.483870967741936,25.806451612903224
2020,19,70.4225352112676,69.01408450704226,43.66197183098591,42.25352112676056
2020,20,75.36231884057972,57.971014492753625,42.028985507246375,24.637681159420293
2020,21,67.3469387755102,53.06122448979592,47.95918367346938,33.6734693877551
2020,22,76.99115044247787,69.91150442477876,32.743362831858406,25.663716814159294
2020,23,67.10526315789474,53.94736842105263,39.473684210526315,26.31578947368421
2020,24,75.0,57.95454545454546,47.72727272727273,30.681818181818183
2020,25,67.07317073170732,46.34146341463415,46.34146341463415,25.609756097560975
2020,26,57.692307692307686,47.43589743589743,42.30769230769231,32.05128205128205
2020,27,66.10169491525424,54.23728813559322,33.89830508474576,22.033898305084744
2020,28,70.87378640776699,61.165048543689316,46.601941747572816,36.89320388349515
2020,29,69.56521739130434,56.52173913043478,39.130434782608695,26.08695652173913
2020,30,77.27272727272727,60.60606060606061,37.878787878787875,21.21212121212121
2020,31,69.76744186046511,58.139534883720934,39.53488372093023,27.906976744186046
2020,32,78.26086956521739,52.17391304347826,56.52173913043478,30.434782608695656
2020,33,64.42307692307693,49.03846153846153,39.42307692307692,24.03846153846154
2020,34,63.07692307692307,49.23076923076923,44.61538461538462,30.76923076923077
2020,35,65.57377049180327,49.18032786885246,47.540983606557376,31.147540983606557
2020,36,64.93506493506493,44.15584415584416,45.45454545454545,24.675324675324674
2020,37,69.23076923076923,59.34065934065934,36.26373626373626,26.373626373626376
2020,38,65.15151515151516,56.060606060606055,42.42424242424242,33.33333333333333
2020,39,72.15189873417721,54.43037974683544,49.36708860759494,31.645569620253166
2020,40,68.29268292682927,58.536585365853654,39.02439024390244,29.268292682926827
2020,41,65.0,46.785714285714285,42.142857142857146,23.92857142857143
2020,42,73.68421052631578,56.57894736842105,43.42105263157895,26.31578947368421
2020,44,54.794520547945204,39.726027397260275,32.87671232876712,17.80821917808219
2020,45,73.21428571428571,65.17857142857143,33.92857142857143,25.892857142857146
2020,46,68.05555555555556,56.94444444444444,30.555555555555557,19.444444444444446
2020,47,75.67567567567568,67.56756756756756,40.54054054054054,32.432432432432435
2020,48,69.14893617021278,51.06382978723404,42.5531914893617,24.46808510638298
2020,49,54.385964912280706,36.84210526315789,28.07017543859649,10.526315789473683
2020,50,73.07692307692307,58.97435897435898,44.871794871794876,30.76923076923077
2020,51,60.75949367088608,43.037974683544306,44.303797468354425,26.582278481012654
2020,53,82.25806451612904,67.74193548387096,45.16129032258064,30.64516129032258
2020,54,67.07317073170732,51.21951219512195,36.58536585365854,20.73170731707317
2020,55,73.42657342657343,60.83916083916085,43.35664335664335,30.76923076923077
2020,56,64.40677966101694,52.54237288135594,42.3728813559322,30.508474576271187
2021,1,72.38095238095238,60.952380952380956,36.19047619047619,24.761904761904763
2021,2,65.07936507936508,47.61904761904761,39.682539682539684,22.22222222222222
2021,4,60.9375,40.625,42.1875,21.875
2021,5,72.72727272727273,59.09090909090909,41.81818181818181,28.18181818181818
2021,6,62.16216216216216,35.13513513513514,43.24324324324324,16.216216216216218
2021,8,64.42953020134227,48.322147651006716,48.99328859060403,32.88590604026846
2021,9,71.875,54.6875,43.75,26.5625
2021,10,62.121212121212125,51.515151515151516,36.36363636363637,25.757575757575758
2021,11,72.91666666666666,45.83333333333333,56.25,29.166666666666668
2021,12,78.4090909090909,59.09090909090909,45.45454545454545,26.136363636363637
2021,13,68.70229007633588,58.01526717557252,37.404580152671755,26.717557251908396
2021,15,68.25396825396825,47.61904761904761,47.61904761904761,26.984126984126984
2021,16,60.46511627906976,45.348837209302324,38.372093023255815,23.25581395348837
2021,17,57.74647887323944,47.88732394366197,36.61971830985916,26.76056338028169
2021,18,69.3069306930693,55.44554455445545,41.584158415841586,27.722772277227726
2021,19,74.28571428571429,64.28571428571429,54.285714285714285,44.285714285714285
2021,20,74.35897435897436,53.84615384615385,56.41025641025641,35.8974358974359
2021,21,68.42105263157895,53.68421052631579,40.0,25.263157894736842
2021,22,70.1219512195122,57.92682926829268,37.19512195121951,25.0
2021,23,65.95744680851064,47.87234042553192,44.680851063829785,26.595744680851062
2021,24,70.1492537313433,47.76119402985074,52.23880597014925,29.850746268656714
2021,25,66.66666666666666,52.38095238095239,39.285714285714285,25.0
2021,26,67.41573033707866,57.30337078651685,40.44943820224719,30.337078651685395
2021,27,62.71186440677966,47.45762711864407,37.28813559322034,22.033898305084744
2021,28,77.04918032786885,70.49180327868852,36.885245901639344,30.327868852459016
2021,29,66.66666666666666,54.32098765432099,37.03703703703704,24.691358024691358
2021,30,72.5,57.49999999999999,48.75,33.75
2021,31,82.35294117647058,76.47058823529412,52.94117647058824,47.05882352941176
2021,32,57.6271186440678,38.983050847457626,38.983050847457626,20.33898305084746
2021,33,68.0,55.00000000000001,45.0,32.0
2021,34,63.29113924050633,39.24050632911392,45.56962025316456,21.518987341772153
2021,35,65.75342465753424,43.83561643835616,46.57534246575342,24.65753424657534
2021,36,66.10169491525424,52.54237288135594,32.20338983050847,18.64406779661017
2021,37,74.75728155339806,60.19417475728155,46.601941747572816,32.038834951456316
2021,38,70.58823529411765,60.29411764705882,41.17647058823529,30.88235294117647
2021,39,73.40425531914893,62.23404255319149,43.61702127659575,32.4468085106383
2021,40,57.30337078651685,39.325842696629216,37.07865168539326,19.101123595505616
2021,41,68.27586206896552,48.275862068965516,45.86206896551724,25.862068965517242
2021,42,76.19047619047619,61.904761904761905,47.61904761904761,33.33333333333333
2021,44,74.71264367816092,63.2183908045977,41.37931034482759,29.88505747126437
2021,45,76.92307692307693,67.52136752136752,40.17094017094017,30.76923076923077
2021,46,71.62162162162163,68.91891891891892,31.08108108108108,28.37837837837838
2021,47,73.23943661971832,60.56338028169014,40.845070422535215,28.169014084507044
2021,48,64.55696202531645,56.9620253164557,30.37974683544304,22.78481012658228
2021,49,62.5,48.214285714285715,39.285714285714285,25.0
